商品ID,品牌,商品名称,商品类别,商品来源,商品URL,商品单价,商品销量,商品月销量,商品评论量,商品参数,卖家名称,卖家所在地,店铺类型,采集日期,采集城市,类目树
11540373,古北水镇,古北水镇,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11540373,1,13,NULL,,"有效期 2015-04-10至2015-05-31 预约信息 预约商户名：要出发 预约电话：400-118-1166 请您提前2天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",古北水镇, ,NULL,2015-04-29 22:11:08,NULL,NULL
10601304,益泉私汤温泉,益泉休闲会所,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/10601304,580,33,NULL,7,"有效期 2015-02-10至2015-05-03 每周五、周六不可用 2015-02-18至2015-02-24、2015-04-03至2015-04-05、2015-04-30至2015-05-03不可用 预约信息 请您提前1天预约 规则提醒 入住时间：13:00以后，退房时间：12:00以前 每张团购券最多2人使用 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",益泉私汤温泉, ,NULL,2015-04-29 22:11:08,NULL,NULL
8269383,益泉私汤温泉,北京益泉温泉会所双人温泉自由行,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/8269383,480,172,NULL,35,"有效期 2014-10-22至2015-05-03 预约信息 预约商户名：要出发旅行网 预约电话：4001181166 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",益泉私汤温泉, ,NULL,2015-04-29 22:11:08,NULL,NULL
11559144,青年旅行社,青年国旅,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11559144,68,6,NULL,1,"有效期 2015-04-13至2015-12-19 预约信息 预约电话：010-57127754 13366445014 请您提前1天预约 规则提醒 每张团购券最多1人使用 .预约后即为生效，一旦预约成功，视为已消费，更改无效，请您务必安排好您的参团时间！ 预约请预留您的联系方式并保持开机，如非旅.行社原因联系不到旅客，视为旅客自愿放弃旅程。 早约06：00左右（参考时间冬天与夏天接客人时间有所部同，根据日出时间而定）【五环以内免费】到客人住地接，五环以外可自行乘坐公交车抵达五环内或按路程远近加收相应的车费到客人住地接 游客出游前请带好有效证件，方便出行 不减少景点的情况下导游可颠倒景点顺序进行游览（一切以旅行社的安排为准） 北京五环内免费接站: 可在来京前报名，等免费接站服务 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",青年旅行社, ,NULL,2015-04-29 22:11:08,NULL,NULL
10601581,益泉花园酒店,益泉休闲会所,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/10601581,780,7,NULL,2,"有效期 2015-02-10至2015-05-02 2015-02-18至2015-02-24、2015-04-03至2015-04-05、2015-04-30至2015-05-02不可用 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",益泉花园酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11463990,山水云间度假酒店,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463990,668,2,NULL,,"有效期 2015-04-03至2015-06-30 预约信息 预约电话：010-61627833 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间度假酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11463391,山水云间度假酒店,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463391,418,4,NULL,,"有效期 2015-04-03至2015-06-30 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",山水云间度假酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11601748,北京青年旅行社,北京青年旅行社,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11601748,28.8,0,NULL,,"有效期 2015-04-16至2015-06-30 预约信息 请您提前1天预约 规则提醒 每张团购券最多1人使用 每日发团 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",北京青年旅行社, ,NULL,2015-04-29 22:11:08,NULL,NULL
11463799,山水云间度假酒店,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463799,538,1,NULL,,"有效期 2015-04-03至2015-06-30 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间度假酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11463852,山水云间山庄,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463852,518,1,NULL,,"有效期 2015-04-03至2015-06-30 每周五、周六不可用 预约信息 预约电话：010-61627833 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间山庄, ,NULL,2015-04-29 22:11:08,NULL,NULL
6242954,金圣农家院,金圣农家院,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/6242954,230,9,NULL,,使用时间 2014-08-06至2015-07-19 除外日期：2014-10-01至2014-10-07 预约信息 至少提前1天预约 电话：15075230696 使用规则 入住时间：12:00后入住，退房时间：次日12:00前退房 团购券最多1人使用 入住请持本人有效身份证（一人一证），须缴纳押金，具体情况详询商户 不可携带宠物入内 提供免费wifi 免费提供10个停车位 不可与其他优惠同享 如需团购券发票，请在消费时向商户提出,金圣农家院, ,NULL,2015-04-29 22:11:08,NULL,NULL
6484383,龙庆峡玉凤农家院,龙庆峡玉凤农家院,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/6484383,78,1,NULL,,使用时间 2014-08-22至2015-05-18 除外日期：国家规定的小长假不可用 预约信息 请您提前1天预约 使用规则 团购券最多1人使用 提供免费wifi 不再与店内其他优惠同享 如需团购券发票，请您在消费时向商户提出 提供免费停车位,龙庆峡玉凤农家院, ,NULL,2015-04-29 22:11:08,NULL,NULL
11506597,古北水镇大酒店,古北水镇大酒店,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11506597,998,81,NULL,2,"有效期 2015-04-08至2015-05-31 预约信息 预约商户名：要出发 预约电话：400-118-1166 请您提前2天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",古北水镇大酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11656343,蟹岛绿色生态度假村,北京蟹岛度假村,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11656343,476,14,NULL,,"有效期 2015-04-21至2015-05-31 预约信息 预约商户名：途牛 预约电话：400-797-5085 预约时请您提供：产品ID（26691177）、入住日期、姓名、联系电话、券号及密码 请您提前1天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",蟹岛绿色生态度假村, ,NULL,2015-04-29 22:11:08,NULL,NULL
11710900,湖湾酒店,北京温都水城,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11710900,695,9,NULL,,"有效期 2015-05-01至2015-06-30 预约信息 请您提前1天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 需缴纳押金，每间200元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",湖湾酒店, ,NULL,2015-04-29 22:11:08,NULL,NULL
11640376,西国贸水会所,西国贸水会所,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11640376,399,7,NULL,,"有效期 2015-04-20至2015-07-15 预约信息 预约电话：010-83832333 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 每张团购券最多2人使用 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",西国贸水会所, ,NULL,2015-04-29 22:11:08,NULL,NULL
